date,meter_value
28-07-2016,105
28-07-2016,598
29-07-2016,22
29-07-2016,102
29-07-2016,13
29-07-2016,503
30-07-2016,26
30-07-2016,306
30-07-2016,14
30-07-2016,322
31-07-2016,35
31-07-2016,82
31-07-2016,97
31-07-2016,586
01-08-2016,88
01-08-2016,309
01-08-2016,42
01-08-2016,20
02-08-2016,74
02-08-2016,131
02-08-2016,24
02-08-2016,1128
03-08-2016,115
03-08-2016,101
03-08-2016,124
03-08-2016,395
04-08-2016,36
04-08-2016,325
04-08-2016,142
04-08-2016,146
05-08-2016,24
05-08-2016,191
05-08-2016,18
05-08-2016,220
06-08-2016,22
06-08-2016,190
06-08-2016,17
06-08-2016,298
07-08-2016,48
07-08-2016,335
07-08-2016,187
07-08-2016,584
08-08-2016,147
08-08-2016,130
08-08-2016,25
08-08-2016,207
09-08-2016,75
09-08-2016,11
09-08-2016,14
09-08-2016,385
10-08-2016,23
10-08-2016,4
10-08-2016,26
10-08-2016,486
11-08-2016,0
11-08-2016,4
11-08-2016,161
11-08-2016,505
12-08-2016,0
12-08-2016,4
12-08-2016,10
12-08-2016,311
13-08-2016,0
13-08-2016,204
13-08-2016,127
13-08-2016,501
14-08-2016,0
14-08-2016,306
14-08-2016,3
14-08-2016,319
15-08-2016,5
15-08-2016,238
15-08-2016,0
15-08-2016,494
16-08-2016,55
16-08-2016,217
16-08-2016,0
16-08-2016,297
17-08-2016,23
17-08-2016,252
17-08-2016,0
17-08-2016,362
18-08-2016,127
18-08-2016,157
18-08-2016,0
18-08-2016,450
19-08-2016,117
19-08-2016,198
19-08-2016,0
19-08-2016,427
20-08-2016,109
20-08-2016,269
20-08-2016,1
20-08-2016,746
21-08-2016,77
21-08-2016,174
21-08-2016,0
21-08-2016,240
22-08-2016,129
22-08-2016,220
22-08-2016,1
22-08-2016,684
23-08-2016,95
23-08-2016,382
23-08-2016,69
23-08-2016,560
24-08-2016,0
24-08-2016,261
24-08-2016,121
24-08-2016,499
25-08-2016,0
25-08-2016,106
25-08-2016,0
25-08-2016,348
26-08-2016,0
26-08-2016,178
26-08-2016,0
26-08-2016,365
27-08-2016,0
27-08-2016,422
27-08-2016,0
27-08-2016,466
28-08-2016,7
28-08-2016,283
28-08-2016,1
28-08-2016,544
29-08-2016,56
29-08-2016,394
29-08-2016,145
29-08-2016,377
30-08-2016,120
30-08-2016,225
30-08-2016,56
30-08-2016,222
31-08-2016,36
31-08-2016,245
31-08-2016,114
31-08-2016,471
01-09-2016,37
01-09-2016,97
01-09-2016,73
01-09-2016,485
02-09-2016,25
02-09-2016,278
02-09-2016,187
02-09-2016,700
03-09-2016,126
03-09-2016,138
03-09-2016,175
03-09-2016,338
04-09-2016,30
04-09-2016,289
04-09-2016,302
04-09-2016,308
05-09-2016,168
05-09-2016,348
05-09-2016,66
05-09-2016,488
06-09-2016,119
06-09-2016,245
06-09-2016,74
06-09-2016,637
07-09-2016,201
07-09-2016,133
07-09-2016,34
07-09-2016,595
08-09-2016,58
08-09-2016,242
08-09-2016,52
08-09-2016,382
09-09-2016,74
09-09-2016,123
09-09-2016,22
09-09-2016,293
10-09-2016,0
10-09-2016,379
10-09-2016,63
10-09-2016,489
11-09-2016,92
11-09-2016,283
11-09-2016,46
11-09-2016,177
12-09-2016,63
12-09-2016,260
12-09-2016,128
12-09-2016,483
13-09-2016,65
13-09-2016,332
13-09-2016,94
13-09-2016,468
14-09-2016,38
14-09-2016,226
14-09-2016,41
14-09-2016,249
15-09-2016,59
15-09-2016,127
15-09-2016,153
15-09-2016,503
16-09-2016,54
16-09-2016,240
16-09-2016,85
16-09-2016,39
17-09-2016,84
17-09-2016,280
17-09-2016,86
17-09-2016,984
18-09-2016,75
18-09-2016,328
18-09-2016,28
18-09-2016,530
19-09-2016,50
19-09-2016,194
19-09-2016,168
19-09-2016,193
20-09-2016,38
20-09-2016,155
20-09-2016,41
